id,is_iceberg
5941774d,0.093300074
4023181e,0.4854867
b20200e4,0.0009057973
e7f018bb,0.982393
4371c8c3,0.13379075
a8d9b1fd,0.97677636
29e7727e,0.14650832
92a51ffb,0.9944488
c769ac97,0.47296855
aee0547d,0.011714625
565b28ac,0.0075275116
e04e9775,0.19903389
8e8161d1,0.0048258915
4cf4d256,0.5524478
139e5324,0.023978842
f156976f,0.056970123
68a117cc,0.17046693
d9aa7a56,0.3927077
9005b143,0.057436366
5f6d3988,0.7586492
9ad70954,0.3325211
b9087b9e,0.58557975
a39a1427,0.3705334
82fbe8ed,0.45798615
1fae4879,0.0013589755
6dd8f13d,0.0015949636
bbad5958,0.27973622
54527583,0.53851646
be8fa29c,0.8281783
81a3328f,0.9988199
1a3c0ab3,0.00011059947
4deeeb8b,0.7557328
ac6d5632,0.75487006
472dadb5,0.35732588
96093f95,0.9397716
f5b4e3df,0.9873104
e01a3c92,0.025036104
001680af,0.34457335
8e639f33,0.52809554
a2c16612,0.6865879
a6d76474,0.00034294295
19c47684,0.7239876
015827b6,0.027726589
7df7f7ce,0.6520073
0bbf1a3f,0.93968
636cfbb7,0.90446097
7370030a,0.99594903
43aa97ad,0.0009399784
ba2b5e63,0.9985574
dfdd335b,0.8480549
e79b13dc,0.0046950397
dc32b195,0.5543445
6d868590,0.95918816
75fa59aa,0.6211367
ffe50836,0.003305517
a7bfd784,0.9387294
b3d569e3,0.2259964
6c538c5b,0.06999939
5c7c15f4,0.00036750597
0b745139,0.17579743
fd14608e,0.5841209
f0bc8305,0.0030867308
a10ccb28,0.9943462
543304c7,0.6388332
6c3a4078,0.0034997996
9b73cc75,0.9693226
5c6c71b1,0.05647157
09ee9186,0.74672806
207c35cf,0.88264436
153c813e,0.00022760451
5605d58b,0.98183167
642ca396,0.09788675
d32d72c0,0.63549405
16646a17,0.9568554
384074af,0.26701918
69bf1e8c,0.55388266
9e90a054,0.84859383
89dbe7f7,0.98055583
dbd27d22,0.88521814
a2ea1561,0.2507205
d63402af,0.18735805
1ac8bb92,0.9916242
8beffca5,0.37152416
46741f3e,0.00035541676
e5ee6aa7,0.022933608
5ecd892b,0.5292108
69892166,0.46467528
2f725a81,0.9776773
810abfe4,1.0751982e-05
e6f973e6,0.55641043
c60a5c46,0.21312349
c42b9e08,0.8411412
c3f00c23,0.051893465
5307fdb8,0.99008
3e4f005e,0.022886049
4a4cc2e0,0.8749721
9bdd88d1,0.00040622483
0d832bed,0.09182806
14a134fa,0.3192448
78a41676,0.0004313563
0bd4658e,0.51623833
4a311bb0,0.76256293
f939c817,0.095188335
956adc4d,0.9988532
f8a119f5,0.6638481
61faa1ad,0.16398045
6725eb3e,0.0076297256
17b3a8fd,0.11164437
49a88dfc,0.0066390773
2d6ec645,0.6081775
0d4d77ba,0.67423344
3ee672a2,0.99695253
738b41fd,0.49644476
f7fb320d,0.73249376
b42fad18,0.40385118
4ab8b00a,0.47772706
f7870f2b,0.244455
4978666a,0.8751954
f1b0d6c7,0.013399573
5642407f,0.04173401
36d4ff92,0.99571556
4139aba2,0.19085087
7585ce58,0.723551
